cik,company_name,panel_fiscal_year,n_filings_merged,n_footnotes,earliest_filing,latest_filing,filing_yr_gap
0000008818,Avery Dennison Corp,2022,2,8,2022-02-23,2023-02-22,1
0000031107,EASTERN CO,2022,2,15,2022-03-17,2023-03-14,1
0000031791,"REVVITY, INC.",2017,2,18,2017-02-28,2018-02-27,1
0000031791,"REVVITY, INC.",2023,2,10,2023-03-01,2024-02-27,1
0000052795,ANIXTER INTERNATIONAL INC,2016,2,12,2016-02-19,2017-02-23,1
0000055135,KELLY SERVICES INC,2017,2,9,2017-02-17,2018-02-20,1
0000055135,KELLY SERVICES INC,2023,2,14,2023-02-16,2024-02-20,1
0000075677,PACKAGING CORP OF AMERICA,2017,2,23,2017-02-28,2018-02-28,1
0000082811,REGAL REXNORD CORP,2017,2,14,2017-03-01,2018-02-27,1
0000082811,REGAL REXNORD CORP,2022,2,20,2022-03-02,2023-02-24,1
0000091440,Snap-on Inc,2022,2,10,2022-02-11,2023-02-09,1
0000093556,"STANLEY BLACK & DECKER, INC.",2022,2,11,2022-02-22,2023-02-23,1
0000105319,"WW INTERNATIONAL, INC.",2022,2,28,2022-03-01,2023-03-06,1
0000110471,WOLVERINE WORLD WIDE INC /DE/,2022,2,21,2022-02-24,2023-02-23,1
0000200406,JOHNSON & JOHNSON,2017,2,5,2017-02-27,2018-02-21,1
0000200406,JOHNSON & JOHNSON,2023,2,18,2023-02-16,2024-02-16,1
0000202058,"L3HARRIS TECHNOLOGIES, INC. /DE/",2021,2,9,2021-03-01,2022-02-25,1
0000217346,TEXTRON INC,2022,2,10,2022-02-17,2023-02-16,1
0000317540,"Coca-Cola Consolidated, Inc.",2017,2,9,2017-03-14,2018-02-28,1
0000704532,ONTO INNOVATION INC.,2022,2,14,2022-02-25,2023-02-24,1
0000715787,INTERFACE INC,2017,2,17,2017-03-02,2018-03-01,1
0000715787,INTERFACE INC,2023,2,11,2023-03-01,2024-02-28,1
0000764630,"AETERNUM HEALTH, INC.",2024,2,14,2024-06-13,2025-04-15,1
0000769520,MIDDLEBY Corp,2022,2,15,2022-03-02,2023-03-01,1
0000827187,Sleep Number Corp,2022,2,7,2022-03-01,2023-02-24,1
0000855658,LATTICE SEMICONDUCTOR CORP,2022,2,21,2022-02-23,2023-02-17,1
0000862861,AI Financial Corp,2022,2,30,2022-04-01,2023-04-17,1
0000864749,TRIMBLE INC.,2021,2,8,2021-02-26,2022-02-23,1
0000883569,"Fossil Group, Inc.",2022,2,17,2022-03-10,2023-03-09,1
0000886346,KADANT INC,2022,2,21,2022-03-01,2023-02-28,1
0000889331,LITTELFUSE INC /DE,2022,2,18,2022-02-17,2023-02-16,1
0000916540,DARLING INGREDIENTS INC.,2022,2,14,2022-03-01,2023-02-27,1
0000939767,"EXELIXIS, INC.",2021,2,16,2021-02-11,2022-02-18,1
0001000228,HENRY SCHEIN INC,2018,2,15,2018-02-21,2019-02-20,1
0001013488,BJs RESTAURANTS INC,2019,2,20,2019-02-26,2020-02-25,1
0001013488,BJs RESTAURANTS INC,2024,2,13,2024-02-27,2025-02-26,1
0001038074,SILICON LABORATORIES INC.,2022,2,2,2022-02-02,2023-02-01,1
0001047340,DEL MONTE CORP,2021,2,13,2021-02-24,2022-02-23,1
0001060822,CARTERS INC,2022,2,27,2022-02-25,2023-02-24,1
0001074828,"USBC, Inc.",2025,2,23,2025-12-19,2026-03-25,1
0001083446,"Astrana Health, Inc.",2017,2,10,2017-06-29,2018-04-02,1
0001094285,TELEDYNE TECHNOLOGIES INC,2017,2,4,2017-03-02,2018-02-27,1
0001094285,TELEDYNE TECHNOLOGIES INC,2023,2,13,2023-02-24,2024-02-23,1
0001110803,"ILLUMINA, INC.",2017,2,18,2017-02-14,2018-02-13,1
0001110803,"ILLUMINA, INC.",2023,2,11,2023-02-17,2024-02-16,1
0001116942,TTM TECHNOLOGIES INC,2018,2,15,2018-02-23,2019-02-26,1
0001116942,TTM TECHNOLOGIES INC,2024,2,13,2024-02-27,2025-02-21,1
0001128928,FLOWERS FOODS INC,2022,2,15,2022-02-23,2023-02-22,1
