cik,fiscal_year,enforced
0000002488,2010,0
0000002488,2011,0
0000002488,2016,0
0000003499,2017,0
0000003570,2016,0
0000004977,2016,0
0000004977,2017,0
0000004977,2018,0
0000006284,2016,1
0000006284,2017,1
0000007623,2016,0
0000007623,2017,0
0000007623,2018,0
0000009389,2016,0
0000010048,2016,0
0000010048,2017,0
0000010048,2018,0
0000010048,2019,0
0000010048,2020,0
0000010048,2021,0
0000010048,2024,0
0000010048,2025,0
0000016918,2024,0
0000016918,2025,0
0000016918,2026,0
0000020212,2016,0
0000022444,2016,0
0000022701,2016,0
0000022701,2022,0
0000022701,2023,0
0000022701,2024,0
0000022701,2025,0
0000023082,2015,1
0000023082,2017,1
0000023197,2016,0
0000023197,2017,0
0000023197,2024,0
0000023197,2025,0
0000023217,2023,0
0000023217,2024,0
0000023217,2025,0
0000023795,2016,0
0000023795,2017,0
0000023795,2018,0
0000023795,2019,0
0000023795,2022,0
0000023795,2025,0
0000025232,2016,0
0000025743,2016,0
0000025743,2021,0
0000025743,2022,0
0000025743,2023,0
0000025743,2024,0
0000025743,2025,0
0000027093,2016,0
0000027093,2021,0
0000027093,2022,0
0000027093,2023,0
0000027093,2024,0
0000027093,2025,0
0000028917,2017,0
0000029002,2016,0
0000029644,2017,0
0000029905,2016,0
0000030625,2016,0
0000031667,2023,0
0000031667,2024,0
0000031667,2025,0
0000031667,2026,0
0000034956,2021,0
0000034956,2022,0
0000034956,2023,0
0000036029,2016,0
0000036029,2017,0
0000036369,2013,1
0000039020,2016,0
0000040570,2021,0
0000042284,2010,1
0000042284,2011,1
0000042582,2014,1
0000042582,2016,1
0000043920,2015,0
0000045919,2016,0
0000045919,2017,0
0000045919,2018,0
0000045919,2019,0
0000045919,2020,0
0000045919,2023,0
0000046129,2016,0
0000050725,2016,0
0000050725,2017,0
0000052827,2016,0
0000055529,2017,0
0000055529,2018,0
0000056047,2016,0
0000056873,2017,0
0000056873,2018,0
0000058361,2017,0
0000061986,2016,0
0000064463,2022,0
0000064463,2023,0
0000064463,2024,0
0000064463,2025,0
0000065172,2017,0
0000065172,2018,0
0000065172,2019,0
0000065172,2021,0
0000065172,2026,0
0000065770,2016,0
0000065770,2017,0
0000065770,2018,0
0000065770,2020,0
0000065770,2021,0
0000065770,2022,0
0000065770,2023,0
0000066570,2016,0
0000067215,2016,0
0000069422,2017,0
0000069422,2024,0
0000069422,2025,0
0000069488,2016,0
0000070318,2016,0
0000071691,2016,0
0000072444,2016,0
0000072444,2017,0
0000072444,2018,0
0000072444,2019,0
0000072444,2022,0
0000072444,2023,0
0000072444,2024,0
0000072444,2025,0
0000073309,2016,0
0000075208,2012,1
0000075208,2013,1
0000075208,2014,1
0000075208,2016,1
0000075208,2017,1
0000076348,2010,1
0000078128,2016,0
0000085535,2017,0
0000086312,2016,0
0000088941,2024,0
0000089439,2016,0
0000091576,2016,0
0000092122,2016,0
0000093314,2016,0
0000093314,2017,0
0000093314,2018,0
0000093314,2019,0
0000093314,2020,0
0000093314,2021,0
0000093314,2022,0
0000093314,2023,0
0000093314,2024,0
0000093314,2025,0
0000093556,2016,0
0000096021,2017,0
0000097210,2016,0
0000097216,2016,0
0000098677,2016,0
0000101382,2016,0
0000101594,2016,0
0000103730,2016,0
0000103872,2015,1
0000103872,2017,1
0000104889,2016,0
0000105132,2017,0
0000105319,2016,0
0000105418,2016,0
0000105770,2016,0
0000108385,2017,0
0000108385,2019,0
0000108385,2026,0
0000109380,2016,0
0000109380,2025,0
0000110471,2016,0
0000215466,2016,0
0000225501,2010,1
0000230557,2016,0
0000230557,2018,0
0000277135,2020,0
0000314203,2016,0
0000314203,2020,0
0000314227,2024,0
0000314227,2025,0
0000314808,2020,0
0000315374,2018,0
0000315545,2016,0
0000315545,2017,0
0000315545,2018,0
0000315545,2021,0
0000315545,2022,0
0000315545,2023,0
0000315545,2024,0
0000315545,2025,0
0000315852,2016,0
0000315852,2020,0
0000315852,2021,0
0000318299,2016,0
0000318299,2017,0
0000318299,2021,0
0000318299,2022,0
0000318299,2023,0
0000318299,2024,0
0000318299,2025,0
0000319016,2013,0
0000319016,2014,0
0000319016,2015,0
0000319016,2016,0
0000319016,2019,0
0000319016,2020,0
0000319655,2024,0
0000319655,2025,0
0000319815,2014,1
0000319815,2015,1
0000319815,2018,1
0000320335,2016,0
0000354707,2016,0
0000354707,2024,0
0000354707,2025,0
0000355356,2011,1
0000357294,2016,0
0000357294,2017,0
0000700564,2016,0
0000700923,2016,0
0000715446,2016,0
0000715446,2017,0
0000716634,2020,0
0000716634,2021,0
0000716634,2022,0
0000716634,2024,0
0000716634,2025,0
0000716643,2016,0
0000720005,2016,0
0000721371,2016,0
0000721371,2017,0
0000722313,2020,0
0000723531,2017,0
0000723533,2013,0
0000723533,2015,0
0000723533,2016,0
0000723533,2017,0
0000723533,2018,0
0000723533,2022,0
0000723533,2023,0
0000723533,2024,0
0000723533,2025,0
0000723612,2016,0
0000725363,2020,0
0000725363,2021,0
0000725363,2022,0
0000725363,2024,0
0000725363,2025,0
0000726854,2017,0
0000726854,2020,0
0000726854,2022,0
0000727207,2010,0
0000727207,2015,0
0000727207,2016,0
0000727207,2022,0
0000727207,2023,0
0000727207,2024,0
0000727273,2016,0
0000727273,2020,0
0000727273,2021,0
0000727273,2022,0
0000727273,2023,0
0000727273,2024,0
0000727273,2025,0
0000729580,2016,0
0000729580,2017,0
0000732026,2016,0
0000738214,2011,0
0000738214,2012,0
0000738214,2021,0
0000738214,2022,0
0000738214,2023,0
0000738214,2024,0
0000738214,2025,0
0000740664,2023,0
0000740664,2024,0
0000740664,2025,0
0000748592,2021,0
0000748592,2022,0
0000748592,2023,0
0000754811,2016,0
0000754811,2017,0
0000760498,2016,0
0000760498,2017,0
0000761648,2016,0
0000761648,2017,0
0000764038,2016,0
0000764065,2016,0
0000764065,2017,0
0000764065,2019,0
0000764065,2020,0
0000764065,2022,0
0000764065,2023,0
0000764065,2025,0
0000764630,2011,0
0000764630,2012,0
0000764630,2017,0
0000764630,2018,0
0000764630,2020,0
0000764630,2021,0
0000764630,2022,0
0000764630,2023,0
0000764630,2025,0
0000768408,2017,0
0000768408,2019,0
0000768408,2020,0
0000768408,2021,0
0000768408,2022,0
0000768408,2023,0
0000768408,2024,0
0000768408,2025,0
0000771999,2025,0
0000772263,2023,0
0000772263,2024,0
0000772406,2017,0
0000773717,2016,0
0000773717,2018,0
0000773717,2019,0
0000773717,2021,0
